"name","headquarters_location","NULL"
"Cramer, Johnson, Wiggins & Associates (CJW & Associates)","Orlando, Florida, United States","12650 Ingenuity Dr, Orlando, FL 32826, United States","(407) 849-0044","http://www.cjw-assoc.com/"
".decimal, Inc.","Sanford, Florida, United States","121 Central Park Pl, Sanford, FL 32771, United States","(407) 330-3300","http://www.dotdecimal.com/"
"(ISC)2 - Tampa Bay Chapter","Tampa, Florida, United States","NULL"
"@TravelDeals","Fort Lauderdale, Florida, United States","NULL"
"0Lat","Orlando, Florida, United States","NULL"
"0NL9","Miami, Florida, United States","NULL"
"1 Nation Technology","Oldsmar, Florida, United States","US-1, Florida, USA","NULL","NULL"
"1.618 Technology","Naples, Florida, United States","NULL"
"10East","Jacksonville, Florida, United States","NULL"
"110% Play Harder.","Jacksonville Beach, Florida, United States","NULL"
"1111 Industries","Largo, Florida, United States","NULL"
"123 Employee Co","Hollywood, Florida, United States","NULL"
"123 FRUTTY","Orlando, Florida, United States","NULL"
"123Deals.com","Kenansville, Florida, United States","NULL"
"123GOink.com","Lady Lake, Florida, United States","NULL"
"123lumpsum","Fort Lauderdale, Florida, United States","NULL"
"12th Avenue Graphics","Miami, Florida, United States","2510 N 12th Ave, Pensacola, FL 32503, United States","(850) 471-0508","https://healthcarewithinreach.org/"
"13 Guys Named Ed","Safety Harbor, Florida, United States","303 Main St, Safety Harbor, FL 34695, United States","(888) 840-0573","http://www.13gne.com/"
"1308 Productions","Miami, Florida, United States","NULL"
"1347 Property Insurance Holdings","Tampa, Florida, United States","NULL"
"169 ST.","Lake Mary, Florida, United States","169 N Country Club Rd, Lake Mary, FL 32746, United States","(407) 330-4372","http://topoftheline1.com/"
"1800 notify","Miami, Florida, United States","NULL"
"1800 PetMeds","Pompano Beach, Florida, United States","420 S Congress Ave #100, Delray Beach, FL 33445, United States","(800) 738-6337","https://www.1800petmeds.com/"
"1CLick3dPrint","Miami, Florida, United States","NULL"
"1Sale formerly 1SaleADay","Miami Lakes, Florida, United States","NULL"
"1st BridgeHouse","Miami, Florida, United States","NULL"
"1st Merchant Funding","Miami, Florida, United States","10800 Biscayne Blvd, Miami, FL 33161, United States","(866) 710-2265","https://www.1stmerchantfunding.com/"
"1st United Bancorp","Boca Raton, Florida, United States","5550 Glades Rd, Boca Raton, FL 33431, United States","(561) 962-1562","http://firstforfunds.com/"
"1stpagelocal","Florida, United States, North America","NULL"
"2 Dollar Delivery","Gainesville, Florida, United States","NULL"
"20th Century Records","Crawfordville, Florida, United States","NULL"
"21st Century Care Providers","Bradenton, Florida, United States","4571 Colonial Blvd, Fort Myers, FL 33966, United States","(888) 850-1622","http://21stcenturycare.org/"
"21st Century Oncology","Fort Myers, Florida, United States","8931 Colonial Center Dr #100, Fort Myers, FL 33905, United States","(239) 936-0382","NULL"
"22 Days Nutrition","Miami, Florida, United States","NULL"
"24 Hour Pro Muscle Gym","Rockledge, Florida, United States","NULL"
"249Labs Inc","Tampa, Florida, United States","NULL"
"2Go Media","Fort Lauderdale, Florida, United States","NULL"
"2nd Century","Tampa, Florida, United States","NULL"
"3 IQs","Orlando, Florida, United States","NULL"
"3 LIttle Birds Interactive LLC","Wauchula, Florida, United States","NULL"
"3 Palms Hotels & Resorts","Kissimmee, Florida, United States","3100 Parkway Blvd, Kissimmee, FL 34747, United States","(407) 396-1062","https://www.redlion.com/americas-best-value-inn"
"31West Global Services","Sarasota, Florida, United States","NULL"
"35CashLoan.Com","Miami, Florida, United States","NULL"
"360 Fire","Boca Raton, Florida, United States","NULL"
"360 Healthcare Staffing","Tampa, Florida, United States","5401 W Kennedy Blvd, Tampa, FL 33609, United States","(877) 360-7823","https://www.medicalsolutions.com/?360healthcare=1"
"360Converge, Inc","Orlando, Florida, United States","NULL"
"360fly, Inc.","Florida, United States, North America","NULL"
"3Axis Development","Boynton Beach, Florida, United States","7200 Brunswick Cir, Boynton Beach, FL 33472, United States","(561) 752-9095","http://www.3axis.us/"
"3B Medical, Inc.","Winter Haven, Florida, United States","203 Avenue A NW, Winter Haven, FL 33881, United States","(863) 226-6285","http://www.3bproducts.com/"
"3C innovate","Miami, Florida, United States","NULL"
"3Cinteractive","Boca Raton, Florida, United States","750 Park of Commerce Blvd #400, Boca Raton, FL 33487, United States","(561) 443-5505","http://www.3c.com/"
"3D Custom Collagen","Stuart, Florida, United States","NULL"
"3D Eye Solutions","Longwood, Florida, United States","NULL"
"3D FUTURE VISION II","Longwood, Florida, United States","NULL"
"3D Nano Batteries,LLC","West Palm Beach, Florida, United States","NULL"
"3D Practice","Tampa, Florida, United States","NULL"
"3D Tek Executive Search Firm","Bushnell, Florida, United States","138 Bushnell Plaza # 303, Bushnell, FL 33513, United States","(352) 569-9203","https://www.3dtek.com/"
"3dCart Shopping Cart Software","Lauderhill, Florida, United States","6691 Nob Hill Rd, Tamarac, FL 33321, United States","(954) 582-5080","https://www.3dcart.com/"
"3DVIX","Miami, Florida, United States","NULL"
"3G1V","Tampa, Florida, United States","NULL"
"3M Electronic Monitoring","Odessa, Florida, United States","1838 Gunn Hwy, Odessa, FL 33556, United States","(813) 749-5454","http://www.attentigroup.com/"
"3mindware","Miami, Florida, United States","NULL"
"3rd Eye Thermography Holistic Center","Fort Lauderdale, Florida, United States","1451 W Cypress Creek Rd #300, Fort Lauderdale, FL 33309, United States","(954) 204-5602","http://3rdeyethermographyholisticcenter.com/"
"401kexchange","Lake Worth, Florida, United States","NULL"
"4A Labs, LLC.","Miami, Florida, United States","NULL"
"4th Generation Organic Market","Boca Raton, Florida, United States","75 SE 3rd St, Boca Raton, FL 33432, United States","(561) 338-9920","http://www.4thgenerationmarket.com/"
"4Voice","Boca Raton, Florida, United States","NULL"
"4WheelOnline","Tampa, Florida, United States","5911 Benjamin Center Dr, Tampa, FL 33634, United States","NULL","NULL"
"4Women.com, Inc.","Florida, United States, North America","NULL"
"5 Bars","Boynton Beach, Florida, United States","NULL"
"5 Star Auto Sales and Repair","Spring Hill, Florida, United States","10377 County Rd 578, Spring Hill, FL 34609, United States","(352) 688-8635","NULL"
"5 Star Mobile","Fort Lauderdale, Florida, United States","NULL"
"5 Star Painting LLC","Destin, Florida, United States","NULL"
"54Energy","Miami, Florida, United States","NULL"
"561 Media","Boca Raton, Florida, United States","125 NW 13th St B-8, Boca Raton, FL 33432, United States","(561) 417-8505","https://www.561media.com/"
"5Four Digital","Pembroke Pines, Florida, United States","NULL"
"5i Solutions","Fort Lauderdale, Florida, United States","NULL"
"5nine Software","West Palm Beach, Florida, United States","1555 Palm Beach Lakes Blvd #750, West Palm Beach, FL 33401, United States","(561) 898-1100","https://www.5nine.com/"
"5th Avenue Acquisitions & Venture Capitalists","Naples, Florida, United States","780 5th Ave S suite 200, Naples, FL 34102, United States","(800) 201-3143","http://5thaavc.com/"
"64bithost.com","Gainesville, Florida, United States","NULL"
"71lbs","Fort Lauderdale, Florida, United States","NULL"
"734 Citrus Holdings","Frostproof, Florida, United States","NULL"
"800 Travel Systems","Tampa, Florida, United States","NULL"
"800.COM","Longboat Key, Florida, United States","NULL"
